Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
dynamic,iid,Mean,0,0.0972,2.323328595352173,1.2690411806106567,2.4411442279815674
dynamic,iid,Mean,1,0.1025,2.3133500072479247,1.1317522525787354,2.3850581645965576
dynamic,iid,Mean,2,0.1104,2.3035010944366454,1.0178120136260986,2.277186155319214
dynamic,iid,Mean,3,0.1197,2.2938769916534425,0.9147015810012817,2.2563343048095703
dynamic,iid,Mean,4,0.1295,2.284468809890747,0.8578861355781555,2.187142848968506
dynamic,iid,Mean,5,0.1441,2.275253742980957,0.7912569642066956,2.159863233566284
dynamic,iid,Mean,6,0.1618,2.2662448230743406,0.7216979265213013,2.1046063899993896
dynamic,iid,Mean,7,0.1806,2.257412686920166,0.667436420917511,2.022307872772217
dynamic,iid,Mean,8,0.2024,2.248781283187866,0.6009193658828735,1.9325520992279053
dynamic,iid,Mean,9,0.2224,2.2403612358093263,0.5275920033454895,1.8485339879989624
dynamic,iid,TriMean,0,0.0801,2.3114948959350587,1.1549341678619385,3.642198324203491
dynamic,iid,TriMean,1,0.0895,2.30170758934021,1.042346477508545,3.6023900508880615
dynamic,iid,TriMean,2,0.1005,2.291911835098267,0.8993546962738037,3.5755391120910645
dynamic,iid,TriMean,3,0.1143,2.2820968238830566,0.8110653162002563,3.5392582416534424
dynamic,iid,TriMean,4,0.129,2.272323543548584,0.7117226719856262,3.4474241733551025
dynamic,iid,TriMean,5,0.1452,2.262598690414429,0.6657613515853882,3.349900484085083
dynamic,iid,TriMean,6,0.1623,2.252841363143921,0.6078553199768066,3.2788712978363037
dynamic,iid,TriMean,7,0.1793,2.2431456943511963,0.541447103023529,3.132518768310547
dynamic,iid,TriMean,8,0.1977,2.233538433456421,0.5331020951271057,3.0257344245910645
dynamic,iid,TriMean,9,0.2156,2.223933221435547,0.5071483850479126,2.917694568634033
dynamic,iid,FABA,0,0.1226,2.3075806827545167,1.1518300771713257,5.1276984214782715
dynamic,iid,FABA,1,0.1295,2.296855097579956,1.0483251810073853,5.021446228027344
dynamic,iid,FABA,2,0.136,2.2864472499847412,0.9729617238044739,4.90867280960083
dynamic,iid,FABA,3,0.1432,2.276328799819946,0.8692202568054199,4.758730411529541
dynamic,iid,FABA,4,0.1518,2.266485404586792,0.8123404383659363,4.502635478973389
dynamic,iid,FABA,5,0.1617,2.2568328910827637,0.7322097420692444,4.177976608276367
dynamic,iid,FABA,6,0.172,2.247349479293823,0.6508648991584778,3.932814359664917
dynamic,iid,FABA,7,0.183,2.2379926124572753,0.5832802653312683,3.718980550765991
dynamic,iid,FABA,8,0.1968,2.228773870849609,0.5430952310562134,3.4684205055236816
dynamic,iid,FABA,9,0.2124,2.219645774459839,0.49939051270484924,3.2426624298095703
dynamic,iid,CC,0,0.1372,2.2943959789276125,1.3304004669189453,2.943403482437134
dynamic,iid,CC,1,0.1587,2.2824818843841554,1.2174808979034424,2.826028823852539
dynamic,iid,CC,2,0.1839,2.270854662322998,1.149893879890442,2.7693710327148438
dynamic,iid,CC,3,0.2077,2.2595610401153565,1.0598772764205933,2.680116891860962
dynamic,iid,CC,4,0.2322,2.2486135189056395,0.9405813813209534,2.586470365524292
dynamic,iid,CC,5,0.2559,2.2379888778686525,0.8897688984870911,2.4700379371643066
dynamic,iid,CC,6,0.2752,2.227674740600586,0.7830612063407898,2.391920804977417
dynamic,iid,CC,7,0.2907,2.2176486473083497,0.7003854513168335,2.2338130474090576
dynamic,iid,CC,8,0.3116,2.207902216720581,0.6248535513877869,2.1326630115509033
dynamic,iid,CC,9,0.3291,2.198447129058838,0.5690971612930298,1.9455829858779907
dynamic,iid,LFighter,0,0.1394,2.289902119445801,1.4571149349212646,3.7538247108459473
dynamic,iid,LFighter,1,0.1582,2.2788705299377443,1.3247370719909668,3.7203562259674072
dynamic,iid,LFighter,2,0.179,2.2678881523132324,1.2015528678894043,3.6042754650115967
dynamic,iid,LFighter,3,0.1984,2.2569568855285644,1.1087843179702759,3.496309518814087
dynamic,iid,LFighter,4,0.2157,2.2461255447387694,0.997205913066864,3.4498651027679443
dynamic,iid,LFighter,5,0.2348,2.2353330764770507,0.8546733260154724,3.320523500442505
dynamic,iid,LFighter,6,0.2517,2.224650277709961,0.8015861511230469,3.259514808654785
dynamic,iid,LFighter,7,0.2688,2.214037911224365,0.6906644701957703,3.19205379486084
dynamic,iid,LFighter,8,0.2828,2.203531705856323,0.6628633141517639,3.134894371032715
dynamic,iid,LFighter,9,0.2962,2.1930662048339844,0.6215482950210571,3.0576913356781006
dynamic,dirichlet,Mean,0,0.1164,2.2966484836578367,3.1220977306365967,2.6006247997283936
dynamic,dirichlet,Mean,1,0.1281,2.287447916030884,3.126948833465576,2.5908143520355225
dynamic,dirichlet,Mean,2,0.1397,2.278355103302002,3.0955772399902344,2.5912296772003174
dynamic,dirichlet,Mean,3,0.1513,2.269450810623169,3.026172637939453,2.609844923019409
dynamic,dirichlet,Mean,4,0.1632,2.2606902755737304,3.044118881225586,2.5607004165649414
dynamic,dirichlet,Mean,5,0.1761,2.2521172119140624,3.024787425994873,2.497652769088745
dynamic,dirichlet,Mean,6,0.1906,2.243683423614502,3.0471134185791016,2.3735201358795166
dynamic,dirichlet,Mean,7,0.203,2.2353154766082763,3.06689190864563,2.3098671436309814
dynamic,dirichlet,Mean,8,0.216,2.2271293209075926,3.1504788398742676,2.17618989944458
dynamic,dirichlet,Mean,9,0.2294,2.219101066970825,3.1708736419677734,2.091378927230835
dynamic,dirichlet,TriMean,0,0.1728,2.277954591369629,3.608464479446411,2.767141819000244
dynamic,dirichlet,TriMean,1,0.179,2.269828825378418,3.55668044090271,2.700758457183838
dynamic,dirichlet,TriMean,2,0.1873,2.2619016262054443,3.484022617340088,2.5785410404205322
dynamic,dirichlet,TriMean,3,0.1973,2.2542257347106935,3.4194588661193848,2.434199810028076
dynamic,dirichlet,TriMean,4,0.2075,2.2467221897125245,3.3736460208892822,2.295823812484741
dynamic,dirichlet,TriMean,5,0.2225,2.239377896118164,3.3301913738250732,2.1691699028015137
dynamic,dirichlet,TriMean,6,0.2373,2.232153443145752,3.292386770248413,2.0570192337036133
dynamic,dirichlet,TriMean,7,0.2524,2.225044488525391,3.3078625202178955,1.9117659330368042
dynamic,dirichlet,TriMean,8,0.2676,2.2180435119628905,3.2730751037597656,1.8234068155288696
dynamic,dirichlet,TriMean,9,0.2833,2.2111963459014894,3.2296693325042725,1.7440297603607178
dynamic,dirichlet,FABA,0,0.1018,2.3004958858489992,2.617523193359375,3.0427327156066895
dynamic,dirichlet,FABA,1,0.1077,2.291291075134277,2.576265335083008,2.8891522884368896
dynamic,dirichlet,FABA,2,0.1201,2.282463081741333,2.5545108318328857,2.7569899559020996
dynamic,dirichlet,FABA,3,0.134,2.27396079788208,2.5425379276275635,2.5391173362731934
dynamic,dirichlet,FABA,4,0.1558,2.265767063522339,2.5013270378112793,2.3428022861480713
dynamic,dirichlet,FABA,5,0.1794,2.257861064529419,2.4644486904144287,2.102466583251953
dynamic,dirichlet,FABA,6,0.2094,2.25021029586792,2.5139095783233643,1.9111604690551758
dynamic,dirichlet,FABA,7,0.2317,2.2427730144500733,2.5306272506713867,1.6937265396118164
dynamic,dirichlet,FABA,8,0.2501,2.235549401473999,2.5187206268310547,1.551932454109192
dynamic,dirichlet,FABA,9,0.2661,2.228478053283691,2.508039951324463,1.4424790143966675
dynamic,dirichlet,CC,0,0.1544,2.2752269729614256,2.2194182872772217,3.812962770462036
dynamic,dirichlet,CC,1,0.166,2.264811027145386,2.181360960006714,3.7699506282806396
dynamic,dirichlet,CC,2,0.1815,2.2546746433258056,2.184727191925049,3.7253196239471436
dynamic,dirichlet,CC,3,0.1979,2.2448689113616944,2.241581916809082,3.6068227291107178
dynamic,dirichlet,CC,4,0.2162,2.235392737197876,2.318871021270752,3.439427137374878
dynamic,dirichlet,CC,5,0.2368,2.226158959197998,2.308384656906128,3.2873318195343018
dynamic,dirichlet,CC,6,0.2539,2.2171845973968507,2.3466014862060547,3.1034367084503174
dynamic,dirichlet,CC,7,0.2727,2.2084646297454835,2.4091806411743164,2.86787486076355
dynamic,dirichlet,CC,8,0.2873,2.2000184513092043,2.3738059997558594,2.6685831546783447
dynamic,dirichlet,CC,9,0.3076,2.19187294921875,2.3829052448272705,2.4528586864471436
dynamic,dirichlet,LFighter,0,0.1519,2.2875981899261473,2.4502954483032227,2.343932628631592
dynamic,dirichlet,LFighter,1,0.16,2.27860259513855,2.4504947662353516,2.3598594665527344
dynamic,dirichlet,LFighter,2,0.1706,2.2697190544128416,2.425347328186035,2.3411552906036377
dynamic,dirichlet,LFighter,3,0.1816,2.2609944526672363,2.3951902389526367,2.3503940105438232
dynamic,dirichlet,LFighter,4,0.1961,2.252428122329712,2.410181760787964,2.4352028369903564
dynamic,dirichlet,LFighter,5,0.2107,2.244000570297241,2.4592902660369873,2.453862428665161
dynamic,dirichlet,LFighter,6,0.2246,2.2356972099304198,2.5187973976135254,2.4277753829956055
dynamic,dirichlet,LFighter,7,0.2375,2.2275169269561768,2.4425158500671387,2.509762763977051
dynamic,dirichlet,LFighter,8,0.2459,2.219462452316284,2.4603159427642822,2.6082980632781982
dynamic,dirichlet,LFighter,9,0.2575,2.211416086578369,2.5016896724700928,2.7059311866760254
dynamic,noniid,Mean,0,0.0976,2.3228699661254884,7.36696195602417,2.605912685394287
dynamic,noniid,Mean,1,0.1037,2.3127929328918455,7.404572486877441,2.5698444843292236
dynamic,noniid,Mean,2,0.1123,2.3030749717712404,7.399471759796143,2.52862811088562
dynamic,noniid,Mean,3,0.1236,2.293569944000244,7.406054973602295,2.5365231037139893
dynamic,noniid,Mean,4,0.1382,2.284252139663696,7.402125358581543,2.5828723907470703
dynamic,noniid,Mean,5,0.1547,2.275081753540039,7.394584655761719,2.688429594039917
dynamic,noniid,Mean,6,0.1761,2.26602202835083,7.3844218254089355,2.7404942512512207
dynamic,noniid,Mean,7,0.2003,2.257006962585449,7.374615669250488,2.8035929203033447
dynamic,noniid,Mean,8,0.2216,2.248020825958252,7.394686222076416,2.8234128952026367
dynamic,noniid,Mean,9,0.2465,2.23903854675293,7.434774398803711,2.882962465286255
dynamic,noniid,TriMean,0,0.0689,2.3096438163757322,7.680627346038818,3.447796583175659
dynamic,noniid,TriMean,1,0.0708,2.30784487991333,7.654080390930176,3.437915563583374
dynamic,noniid,TriMean,2,0.0726,2.306179355239868,7.667374610900879,3.412020683288574
dynamic,noniid,TriMean,3,0.0747,2.304652780151367,7.665771961212158,3.326136589050293
dynamic,noniid,TriMean,4,0.0775,2.3032535594940184,7.637378692626953,3.2743051052093506
dynamic,noniid,TriMean,5,0.0815,2.3019670249938966,7.586459159851074,3.1879398822784424
dynamic,noniid,TriMean,6,0.0844,2.3007742500305177,7.574345111846924,3.039684534072876
dynamic,noniid,TriMean,7,0.0887,2.299636972427368,7.576756477355957,2.892916440963745
dynamic,noniid,TriMean,8,0.0937,2.2985422439575194,7.528653144836426,2.758038282394409
dynamic,noniid,TriMean,9,0.0995,2.297483994674683,7.505842208862305,2.5710220336914062
dynamic,noniid,FABA,0,0.126,2.3047656688690186,7.597200393676758,3.81614089012146
dynamic,noniid,FABA,1,0.1382,2.2966236038208008,7.585160732269287,3.7101759910583496
dynamic,noniid,FABA,2,0.1525,2.289083340072632,7.611149311065674,3.5628769397735596
dynamic,noniid,FABA,3,0.1677,2.282105390548706,7.544923782348633,3.3786685466766357
dynamic,noniid,FABA,4,0.1843,2.275502543258667,7.53040075302124,3.182666778564453
dynamic,noniid,FABA,5,0.2007,2.2692299201965334,7.546234607696533,3.004213333129883
dynamic,noniid,FABA,6,0.2172,2.2631444507598877,7.5904951095581055,2.9026007652282715
dynamic,noniid,FABA,7,0.2328,2.257197783279419,7.579383850097656,2.8561811447143555
dynamic,noniid,FABA,8,0.2484,2.251371968078613,7.614127159118652,2.8288464546203613
dynamic,noniid,FABA,9,0.2621,2.24559299697876,7.564068794250488,2.8207740783691406
dynamic,noniid,CC,0,0.1291,2.305523949050903,7.654602527618408,4.819836139678955
dynamic,noniid,CC,1,0.1449,2.2972927230834963,7.620425701141357,4.6303629875183105
dynamic,noniid,CC,2,0.1627,2.2894209732055666,7.596160411834717,4.501952648162842
dynamic,noniid,CC,3,0.1817,2.2819071983337404,7.543591499328613,4.367354869842529
dynamic,noniid,CC,4,0.1969,2.274605198287964,7.521937847137451,4.2954325675964355
dynamic,noniid,CC,5,0.2126,2.267443647003174,7.540510654449463,4.233231544494629
dynamic,noniid,CC,6,0.2296,2.2603877685546876,7.528376579284668,4.196216106414795
dynamic,noniid,CC,7,0.2443,2.2533541347503663,7.501966953277588,4.145851135253906
dynamic,noniid,CC,8,0.2579,2.2462822425842286,7.458130359649658,3.9965083599090576
dynamic,noniid,CC,9,0.2714,2.239086247253418,7.423732757568359,3.918233633041382
dynamic,noniid,LFighter,0,0.1106,2.3128609676361083,7.556868553161621,3.8082027435302734
dynamic,noniid,LFighter,1,0.1284,2.304288925552368,7.538462162017822,3.743372917175293
dynamic,noniid,LFighter,2,0.1496,2.296015243148804,7.55861234664917,3.6727588176727295
dynamic,noniid,LFighter,3,0.1695,2.2879501663208006,7.540438652038574,3.578721523284912
dynamic,noniid,LFighter,4,0.187,2.2801089164733885,7.496206760406494,3.5020089149475098
dynamic,noniid,LFighter,5,0.2107,2.2723996604919434,7.446251392364502,3.372453451156616
dynamic,noniid,LFighter,6,0.2327,2.2647958835601805,7.454322338104248,3.235989809036255
dynamic,noniid,LFighter,7,0.253,2.2572270484924317,7.425700664520264,3.133928060531616
dynamic,noniid,LFighter,8,0.2691,2.2496314559936526,7.384442329406738,3.068773031234741
dynamic,noniid,LFighter,9,0.2873,2.242088586425781,7.35068941116333,2.9617831707000732
